ASSERTION	AAMEAAEBBgAAAAAAAECPQA==
ASSERTION	AAIEAAEBBgAAAAAAAECPQA==
ASSERTION	AAEAAQtCb29rRmxpZ2h0cwQAAQEGAAAAAAAAQI9A
ASSERTION	AAMDAAMFAAAAAAAAAFlA
RUN	GatlingPractice	gatlingpractice	1605911203744	 	3.0.2
USER	GatlingPractice	1	START	1605911205167	1605911205167
USER	GatlingPractice	2	START	1605911205192	1605911205192
REQUEST	2		HomePage	1605911205193	1605911205917	OK	 
REQUEST	1		HomePage	1605911205189	1605911205917	OK	 
REQUEST	1		SearchFlight	1605911215406	1605911215739	OK	 
REQUEST	2		SearchFlight	1605911215386	1605911215739	OK	 
REQUEST	1		SelectFlight	1605911221056	1605911221371	OK	 
REQUEST	2		SelectFlight	1605911221043	1605911221371	OK	 
REQUEST	1		BookFlights	1605911232821	1605911233146	OK	 
REQUEST	2		BookFlights	1605911232821	1605911233150	OK	 
USER	GatlingPractice	2	END	1605911205192	1605911233460
USER	GatlingPractice	1	END	1605911205167	1605911233460
